Disease,Symptom,Medicine
Heart Disease,Vomiting,Aspirin
Zika Virus,Weight Loss,Amoxicillin
Hepatitis,Ear Pain,Loratadine
Zika Virus,Fatigue,Azithromycin
Whooping Cough,Ear Pain,Calamine Lotion
Pneumonia,Nausea,Losartan
COVID-19,Fever,Cetirizine
Psoriasis,Itching,Prednisone
Arthritis,Numbness,Prednisone
Urinary Tract Infection,Night Sweats,Calamine Lotion
Fungal Infection,Fever,Amoxicillin
Multiple Sclerosis,Red Eyes,Terbinafine
Asthma,Swollen Lymph Nodes,Sumatriptan
Acne,Shortness of breath,Azithromycin
Zika Virus,Night Sweats,Losartan
Bronchitis,Fever,Topiramate
Ulcerative Colitis,Nausea,Sumatriptan
Urinary Tract Infection,Back Pain,Rifampin
Hypertension,Tremors,Losartan
Bronchitis,Fatigue,Isoniazid
Dengue,Diarrhea,Paracetamol
Glaucoma,Skin Rash,Levothyroxine
Eczema,Muscle Weakness,Calamine Lotion
Osteoporosis,Loss of Appetite,Chloroquine
Osteoporosis,Fatigue,Rifampin
Peptic Ulcer,Chest Pain,Omeprazole
Glaucoma,Skin Rash,Calamine Lotion
Gastroenteritis,Night Sweats,Glibenclamide
Gastroenteritis,Ear Pain,Paracetamol
Urinary Tract Infection,Rapid Heartbeat,Aspirin
Asthma,Numbness,Prednisone
Pneumonia,Runny Nose,Ranitidine
Malaria,Blurred Vision,Propranolol
Allergy,Ear Pain,Loratadine
Vertigo,Red Eyes,Ranitidine
Influenza,Sore Throat,Isoniazid
Migraine,Loss of Appetite,Losartan
Chickenpox,Blurred Vision,Adalimumab
Bronchitis,Dizziness,Losartan
Peptic Ulcer,Skin Rash,Ranitidine
Whooping Cough,Red Eyes,Loratadine
Hepatitis,High Blood Pressure,Loperamide
Tuberculosis,Loss of Appetite,Budesonide
Vertigo,Fever,Hydrocortisone
Influenza,Vomiting,Isoniazid
Peptic Ulcer,Blurred Vision,Paracetamol
Vertigo,Loss of Appetite,Budesonide
Asthma,Loss of Appetite,Loratadine
Arthritis,High Blood Pressure,Paracetamol
Diabetes,Swelling,Azithromycin
Multiple Sclerosis,Ear Pain,Ondansetron
Chickenpox,Weight Loss,Rifampin
Common Cold,Runny Nose,Losartan
Psoriasis,Diarrhea,Ranitidine
Heart Disease,Back Pain,Azithromycin
Malaria,Ear Pain,Adalimumab
Zika Virus,Nausea,Rifampin
Bronchitis,Muscle Weakness,Glibenclamide
COVID-19,Tremors,Prednisone
Psoriasis,Cough,Prednisone
Heart Disease,Chest Pain,Losartan
Arthritis,Runny Nose,Amoxicillin
Peptic Ulcer,Swelling,Hydrocortisone
Arthritis,Diarrhea,Budesonide
Peptic Ulcer,Abdominal Pain,Isoniazid
Malaria,Abdominal Pain,Metformin
Chronic Kidney Disease,Back Pain,Levothyroxine
Acne,Tremors,Adalimumab
Jaundice,Shortness of breath,Budesonide
Diabetes,Night Sweats,Amoxicillin
Chickenpox,Nausea,Propranolol
Osteoporosis,Dizziness,Amoxicillin
Ulcerative Colitis,Tremors,Glibenclamide
Osteoporosis,Night Sweats,Sildenafil
Chronic Kidney Disease,Vomiting,Loratadine
Sinusitis,High Blood Pressure,Amoxicillin
Psoriasis,Weight Loss,Losartan
Urinary Tract Infection,High Blood Pressure,Ranitidine
Sinusitis,Shortness of breath,Metformin
Allergy,Muscle Weakness,Prednisone
Glaucoma,Runny Nose,Metformin
Bronchitis,Tremors,Ranitidine
Vertigo,Fever,Hydrocortisone
Arthritis,Joint Pain,Calamine Lotion
Common Cold,Fatigue,Azithromycin
Zika Virus,Muscle Weakness,Ciprofloxacin
Hypertension,Ear Pain,Ibuprofen
Tuberculosis,Abdominal Pain,Terbinafine
Tuberculosis,Ear Pain,Budesonide
Acne,Fever,Isoniazid
Ulcerative Colitis,Skin Rash,Prednisone
Acne,Night Sweats,Prednisone
Diabetes,Nausea,Loperamide
Fungal Infection,Ear Pain,Chloroquine
Tuberculosis,Fever,Paracetamol
Hypertension,Red Eyes,Topiramate
Asthma,Sore Throat,Ciprofloxacin
Zika Virus,Runny Nose,Paracetamol
Jaundice,Loss of Appetite,Budesonide
Sinusitis,Ear Pain,Topiramate
Hepatitis,Tremors,Ranitidine
Whooping Cough,Runny Nose,Loratadine
Heart Disease,Nausea,Metformin
Urinary Tract Infection,Blurred Vision,Cetirizine
Gastroenteritis,High Blood Pressure,Levothyroxine
Urinary Tract Infection,Joint Pain,Terbinafine
Pneumonia,Ear Pain,Loperamide
COVID-19,Joint Pain,Cetirizine
Diabetes,Shortness of breath,Ranitidine
Hepatitis,Nausea,Ondansetron
Peptic Ulcer,Vomiting,Doxycycline
Gastroenteritis,Muscle Weakness,Isoniazid
Hypertension,Skin Rash,Ranitidine
COVID-19,Vomiting,Prednisone
Fungal Infection,Skin Rash,Paracetamol
Migraine,Vomiting,Ibuprofen
Eczema,Joint Pain,Losartan
Migraine,Night Sweats,Sildenafil
Psoriasis,Headache,Ranitidine
Influenza,Chest Pain,Metformin
Epilepsy,Headache,Glibenclamide
Common Cold,Muscle Weakness,Budesonide
Hepatitis,Red Eyes,Propranolol
Psoriasis,Blurred Vision,Chloroquine
Glaucoma,Weight Loss,Amoxicillin
Epilepsy,Dizziness,Azithromycin
Tuberculosis,Shortness of breath,Rifampin
Heart Disease,Rapid Heartbeat,Cetirizine
Arthritis,Cough,Topiramate
Epilepsy,Chest Pain,Propranolol
Chronic Kidney Disease,Shortness of breath,Prednisone
COVID-19,Blurred Vision,Propranolol
Hypertension,Tremors,Glibenclamide
Jaundice,Joint Pain,Levothyroxine
Tuberculosis,Nausea,Chloroquine
Malaria,Rapid Heartbeat,Sildenafil
Whooping Cough,Nausea,Paracetamol
Jaundice,Dizziness,Omeprazole
Dengue,Diarrhea,Metformin
Pneumonia,Headache,Glibenclamide
Urinary Tract Infection,Dizziness,Terbinafine
Migraine,Rapid Heartbeat,Ranitidine
Vertigo,Ear Pain,Levothyroxine
Eczema,Vomiting,Glibenclamide
Ulcerative Colitis,Tremors,Losartan
Influenza,Night Sweats,Sumatriptan
Asthma,Sore Throat,Doxycycline
Chickenpox,Vomiting,Isoniazid
Diabetes,Rapid Heartbeat,Sumatriptan
Sinusitis,Itching,Azithromycin
Heart Disease,Nausea,Doxycycline
Zika Virus,Night Sweats,Propranolol
Multiple Sclerosis,Ear Pain,Prednisone
Sinusitis,Red Eyes,Omeprazole
Chickenpox,Red Eyes,Topiramate
Eczema,Skin Rash,Glibenclamide
Bronchitis,Nausea,Isoniazid
Lung Cancer,Rapid Heartbeat,Terbinafine
Acne,Night Sweats,Isoniazid
Asthma,Ear Pain,Doxycycline
Fungal Infection,Abdominal Pain,Sildenafil
Hypertension,Sore Throat,Loperamide
Glaucoma,Red Eyes,Paracetamol
Allergy,Swelling,Topiramate
Diabetes,Swollen Lymph Nodes,Cetirizine
Migraine,Shortness of breath,Prednisone
COVID-19,Dizziness,Hydrocortisone
Vertigo,Tremors,Adalimumab
Sinusitis,Fever,Loperamide
Whooping Cough,Cough,Propranolol
Typhoid,Night Sweats,Hydrocortisone
Vertigo,Fatigue,Cetirizine
Gastroenteritis,Swollen Lymph Nodes,Amoxicillin
Gastroenteritis,Muscle Weakness,Omeprazole
Fungal Infection,Ear Pain,Ibuprofen
Malaria,Swelling,Prednisone
Influenza,Headache,Aspirin
Urinary Tract Infection,Loss of Appetite,Ranitidine
Heart Disease,Itching,Aspirin
Acne,Cough,Hydrocortisone
Chronic Kidney Disease,Blurred Vision,Topiramate
Influenza,Headache,Loratadine
Diabetes,Joint Pain,Aspirin
Jaundice,Itching,Rifampin
Epilepsy,Nausea,Levothyroxine
Pneumonia,Swollen Lymph Nodes,Rifampin
Heart Disease,Headache,Prednisone
Tuberculosis,Night Sweats,Loratadine
Dengue,Loss of Appetite,Propranolol
Sinusitis,Runny Nose,Sumatriptan
Allergy,Sore Throat,Glibenclamide
Hypertension,Runny Nose,Loperamide
Psoriasis,Nausea,Isoniazid
Chickenpox,High Blood Pressure,Budesonide
Chickenpox,High Blood Pressure,Omeprazole
Peptic Ulcer,Red Eyes,Amoxicillin
Jaundice,High Blood Pressure,Calamine Lotion
Eczema,Shortness of breath,Hydrocortisone
Fungal Infection,Loss of Appetite,Ranitidine
Glaucoma,Ear Pain,Isoniazid
Peptic Ulcer,Abdominal Pain,Calamine Lotion
Jaundice,Shortness of breath,Aspirin
Influenza,Skin Rash,Metformin
Allergy,Abdominal Pain,Ondansetron
Influenza,Headache,Metformin
Epilepsy,Chest Pain,Loperamide
Allergy,Nausea,Budesonide
COVID-19,Shortness of breath,Adalimumab
Dengue,Swelling,Ciprofloxacin
Zika Virus,Blurred Vision,Sumatriptan
Psoriasis,Joint Pain,Terbinafine
Epilepsy,Diarrhea,Aspirin
Typhoid,Shortness of breath,Ibuprofen
Tuberculosis,Abdominal Pain,Chloroquine
Dengue,Vomiting,Propranolol
Malaria,Abdominal Pain,Prednisone
Multiple Sclerosis,Swelling,Isoniazid
Zika Virus,Cough,Ciprofloxacin
Eczema,Itching,Calamine Lotion
Acne,Headache,Terbinafine
Bronchitis,Blurred Vision,Loperamide
COVID-19,Vomiting,Budesonide
Peptic Ulcer,Sore Throat,Calamine Lotion
Eczema,Ear Pain,Amoxicillin
Heart Disease,Fever,Ranitidine
Zika Virus,Red Eyes,Sumatriptan
Chronic Kidney Disease,Weight Loss,Topiramate
Asthma,Vomiting,Prednisone
Tuberculosis,Diarrhea,Glibenclamide
Arthritis,Tremors,Ciprofloxacin
Ulcerative Colitis,Blurred Vision,Levothyroxine
Jaundice,Numbness,Azithromycin
Migraine,Numbness,Glibenclamide
Eczema,Swelling,Loratadine
Typhoid,Vomiting,Budesonide
Osteoporosis,Shortness of breath,Ciprofloxacin
Migraine,Skin Rash,Budesonide
Migraine,Night Sweats,Isoniazid
Influenza,Shortness of breath,Levothyroxine
Whooping Cough,Numbness,Topiramate
Urinary Tract Infection,Shortness of breath,Ondansetron
Malaria,Swelling,Loperamide
Whooping Cough,Itching,Adalimumab
Peptic Ulcer,Cough,Adalimumab
Epilepsy,Loss of Appetite,Loperamide
Tuberculosis,Weight Loss,Paracetamol
Typhoid,Night Sweats,Budesonide
Heart Disease,Back Pain,Sildenafil
Osteoporosis,Fever,Azithromycin
Migraine,Fatigue,Sildenafil
Psoriasis,Muscle Weakness,Topiramate
Ulcerative Colitis,Numbness,Cetirizine
Epilepsy,Tremors,Paracetamol
Common Cold,Tremors,Doxycycline
Urinary Tract Infection,Loss of Appetite,Losartan
Hypertension,Abdominal Pain,Budesonide
Typhoid,Weight Loss,Prednisone
Influenza,Headache,Propranolol
Hypertension,Diarrhea,Ondansetron
Zika Virus,Weight Loss,Amoxicillin
Common Cold,Night Sweats,Rifampin
Bronchitis,High Blood Pressure,Levothyroxine
Sinusitis,Runny Nose,Budesonide
Arthritis,Night Sweats,Amoxicillin
Arthritis,Joint Pain,Ibuprofen
Multiple Sclerosis,Diarrhea,Calamine Lotion
Gastroenteritis,Vomiting,Chloroquine
Zika Virus,Joint Pain,Isoniazid
Peptic Ulcer,Back Pain,Sildenafil
Asthma,Headache,Ranitidine
Arthritis,Abdominal Pain,Glibenclamide
Whooping Cough,Cough,Budesonide
Tuberculosis,Joint Pain,Prednisone
Migraine,Fatigue,Paracetamol
Chickenpox,Vomiting,Paracetamol
Eczema,Vomiting,Ondansetron
Allergy,Nausea,Sildenafil
Common Cold,Swelling,Azithromycin
Bronchitis,Runny Nose,Sildenafil
Epilepsy,Itching,Sildenafil
COVID-19,Numbness,Topiramate
Sinusitis,Tremors,Topiramate
Osteoporosis,Weight Loss,Glibenclamide
Hepatitis,Blurred Vision,Hydrocortisone
Psoriasis,Joint Pain,Chloroquine
Acne,Abdominal Pain,Omeprazole
Gastroenteritis,Swollen Lymph Nodes,Levothyroxine
Typhoid,Itching,Hydrocortisone
Heart Disease,Swollen Lymph Nodes,Aspirin
Heart Disease,Headache,Prednisone
Hepatitis,Night Sweats,Ranitidine
Diabetes,Runny Nose,Adalimumab
Influenza,Muscle Weakness,Azithromycin
Acne,Sore Throat,Calamine Lotion
Common Cold,Loss of Appetite,Ranitidine
Gastroenteritis,Abdominal Pain,Ranitidine
Dengue,Tremors,Doxycycline
Ulcerative Colitis,Swollen Lymph Nodes,Rifampin
Eczema,Cough,Loratadine
Lung Cancer,High Blood Pressure,Chloroquine
Glaucoma,Back Pain,Omeprazole
Vertigo,Fatigue,Ibuprofen
Pneumonia,Shortness of breath,Levothyroxine
Fungal Infection,Nausea,Budesonide
Lung Cancer,Numbness,Ibuprofen
Whooping Cough,Tremors,Budesonide
Eczema,Vomiting,Terbinafine
Hepatitis,Night Sweats,Ondansetron
Osteoporosis,Nausea,Metformin
Heart Disease,Abdominal Pain,Chloroquine
Diabetes,Loss of Appetite,Adalimumab
Common Cold,High Blood Pressure,Ranitidine
Common Cold,Itching,Ondansetron
Pneumonia,Abdominal Pain,Amoxicillin
Hypertension,Abdominal Pain,Loratadine
Epilepsy,Night Sweats,Omeprazole
Chickenpox,Cough,Ranitidine
Urinary Tract Infection,Fatigue,Aspirin
Influenza,Dizziness,Loratadine
Hypertension,Ear Pain,Amoxicillin
Arthritis,Weight Loss,Loratadine
Urinary Tract Infection,Tremors,Aspirin
Sinusitis,Joint Pain,Aspirin
Pneumonia,Red Eyes,Calamine Lotion
Osteoporosis,Numbness,Doxycycline
Osteoporosis,High Blood Pressure,Sildenafil
COVID-19,Sore Throat,Paracetamol
Malaria,Skin Rash,Chloroquine
Sinusitis,Tremors,Ciprofloxacin
Heart Disease,Skin Rash,Ranitidine
Urinary Tract Infection,Dizziness,Terbinafine
Acne,Headache,Aspirin
Zika Virus,Swollen Lymph Nodes,Propranolol
Glaucoma,Abdominal Pain,Metformin
Zika Virus,Red Eyes,Levothyroxine
Zika Virus,Nausea,Azithromycin
Malaria,Back Pain,Chloroquine
Hepatitis,Chest Pain,Isoniazid
Migraine,Shortness of breath,Terbinafine
Gastroenteritis,Numbness,Cetirizine
Epilepsy,Skin Rash,Adalimumab
Ulcerative Colitis,Ear Pain,Ciprofloxacin
Influenza,Numbness,Sildenafil
Asthma,Red Eyes,Prednisone
Chickenpox,Weight Loss,Calamine Lotion
Influenza,Chest Pain,Loperamide
Acne,Joint Pain,Levothyroxine
Migraine,Tremors,Terbinafine
Tuberculosis,Red Eyes,Metformin
Typhoid,Joint Pain,Loperamide
Fungal Infection,Back Pain,Budesonide
Migraine,Nausea,Ciprofloxacin
Typhoid,Swelling,Loperamide
Sinusitis,Nausea,Ondansetron
Hepatitis,Rapid Heartbeat,Metformin
Lung Cancer,Skin Rash,Azithromycin
Gastroenteritis,Skin Rash,Topiramate
Eczema,Back Pain,Ciprofloxacin
Dengue,Chest Pain,Calamine Lotion
Acne,Runny Nose,Cetirizine
Whooping Cough,Swelling,Isoniazid
Ulcerative Colitis,Loss of Appetite,Doxycycline
Epilepsy,Vomiting,Hydrocortisone
Multiple Sclerosis,Red Eyes,Cetirizine
Fungal Infection,Nausea,Azithromycin
Asthma,Weight Loss,Omeprazole
COVID-19,Sore Throat,Propranolol
Diabetes,Headache,Calamine Lotion
Heart Disease,Runny Nose,Sumatriptan
COVID-19,Muscle Weakness,Amoxicillin
Influenza,Back Pain,Prednisone
Urinary Tract Infection,Swelling,Omeprazole
Tuberculosis,Swollen Lymph Nodes,Losartan
Jaundice,Muscle Weakness,Isoniazid
Influenza,High Blood Pressure,Hydrocortisone
Acne,Cough,Budesonide
Jaundice,Dizziness,Loratadine
Sinusitis,Back Pain,Loratadine
Zika Virus,Skin Rash,Isoniazid
Eczema,Sore Throat,Ciprofloxacin
Lung Cancer,Shortness of breath,Ciprofloxacin
Jaundice,Diarrhea,Amoxicillin
Common Cold,Ear Pain,Glibenclamide
Migraine,Joint Pain,Paracetamol
Glaucoma,Swelling,Ibuprofen
Epilepsy,Skin Rash,Levothyroxine
Allergy,Rapid Heartbeat,Sildenafil
Influenza,Cough,Isoniazid
Acne,High Blood Pressure,Chloroquine
Urinary Tract Infection,Rapid Heartbeat,Rifampin
Urinary Tract Infection,Cough,Adalimumab
Fungal Infection,Fatigue,Aspirin
Jaundice,Numbness,Ibuprofen
Diabetes,Itching,Ibuprofen
Lung Cancer,Muscle Weakness,Propranolol
Common Cold,Shortness of breath,Chloroquine
Heart Disease,Fever,Loratadine
Asthma,Chest Pain,Loperamide
Osteoporosis,Chest Pain,Glibenclamide
Common Cold,Vomiting,Hydrocortisone
Urinary Tract Infection,Swelling,Aspirin
Urinary Tract Infection,Runny Nose,Rifampin
Multiple Sclerosis,Vomiting,Calamine Lotion
Allergy,Swollen Lymph Nodes,Calamine Lotion
COVID-19,Rapid Heartbeat,Sumatriptan
Influenza,Ear Pain,Ibuprofen
Jaundice,Nausea,Loperamide
COVID-19,Numbness,Terbinafine
Multiple Sclerosis,Itching,Amoxicillin
COVID-19,Back Pain,Amoxicillin
Glaucoma,Loss of Appetite,Losartan
Ulcerative Colitis,Joint Pain,Losartan
Psoriasis,Swelling,Hydrocortisone
Lung Cancer,Diarrhea,Cetirizine
Glaucoma,Sore Throat,Ciprofloxacin
Pneumonia,Chest Pain,Paracetamol
Multiple Sclerosis,Itching,Sumatriptan
Multiple Sclerosis,Joint Pain,Ondansetron
Epilepsy,Sore Throat,Ondansetron
Diabetes,Swelling,Omeprazole
Jaundice,Blurred Vision,Loratadine
Ulcerative Colitis,Red Eyes,Losartan
Common Cold,Chest Pain,Doxycycline
Psoriasis,Night Sweats,Topiramate
Fungal Infection,Swelling,Levothyroxine
Acne,Rapid Heartbeat,Ranitidine
Zika Virus,Sore Throat,Budesonide
Diabetes,Rapid Heartbeat,Terbinafine
Heart Disease,Night Sweats,Glibenclamide
Sinusitis,High Blood Pressure,Ondansetron
Zika Virus,High Blood Pressure,Rifampin
Acne,High Blood Pressure,Budesonide
Arthritis,Numbness,Rifampin
Arthritis,Itching,Losartan
Fungal Infection,Night Sweats,Losartan
Typhoid,Numbness,Cetirizine
Glaucoma,Sore Throat,Hydrocortisone
Common Cold,Ear Pain,Aspirin
Pneumonia,Diarrhea,Sildenafil
Hypertension,Tremors,Chloroquine
Hepatitis,Fever,Ranitidine
Ulcerative Colitis,High Blood Pressure,Sumatriptan
Allergy,Cough,Rifampin
Zika Virus,Headache,Isoniazid
Epilepsy,Diarrhea,Paracetamol
Eczema,Ear Pain,Paracetamol
Asthma,Shortness of breath,Prednisone
Diabetes,Cough,Prednisone
Vertigo,Tremors,Amoxicillin
Multiple Sclerosis,Itching,Aspirin
Chronic Kidney Disease,Tremors,Propranolol
COVID-19,Nausea,Loratadine
Vertigo,Sore Throat,Ciprofloxacin
Gastroenteritis,Weight Loss,Cetirizine
Sinusitis,Headache,Aspirin
Psoriasis,Numbness,Calamine Lotion
Gastroenteritis,Itching,Budesonide
Pneumonia,High Blood Pressure,Losartan
Allergy,Shortness of breath,Chloroquine
Psoriasis,Swelling,Chloroquine
Vertigo,Skin Rash,Ibuprofen
Psoriasis,Swollen Lymph Nodes,Prednisone
Multiple Sclerosis,Itching,Loperamide
Influenza,High Blood Pressure,Metformin
Chickenpox,Blurred Vision,Chloroquine
Allergy,Headache,Ondansetron
Migraine,Tremors,Prednisone
Common Cold,Night Sweats,Metformin
Osteoporosis,Abdominal Pain,Topiramate
Chronic Kidney Disease,Cough,Levothyroxine
Chronic Kidney Disease,Tremors,Losartan
Hypertension,Nausea,Topiramate
Allergy,Back Pain,Ibuprofen
Zika Virus,Headache,Ciprofloxacin
Dengue,Back Pain,Rifampin
Acne,Joint Pain,Azithromycin
Diabetes,Joint Pain,Doxycycline
Eczema,Swollen Lymph Nodes,Sumatriptan
Epilepsy,Sore Throat,Rifampin
Lung Cancer,Muscle Weakness,Propranolol
Influenza,Diarrhea,Isoniazid
Vertigo,Ear Pain,Calamine Lotion
Asthma,Diarrhea,Sildenafil
Heart Disease,Rapid Heartbeat,Isoniazid
Common Cold,Weight Loss,Calamine Lotion
Dengue,Fever,Amoxicillin
Chronic Kidney Disease,Swelling,Chloroquine
Tuberculosis,Shortness of breath,Ibuprofen
Chickenpox,Vomiting,Ciprofloxacin
Malaria,Chest Pain,Ondansetron
Allergy,High Blood Pressure,Prednisone
Hepatitis,Swelling,Topiramate
Allergy,Night Sweats,Doxycycline
Epilepsy,Chest Pain,Levothyroxine
Urinary Tract Infection,Weight Loss,Prednisone
Lung Cancer,Tremors,Losartan
Whooping Cough,Tremors,Chloroquine
Peptic Ulcer,Runny Nose,Loratadine
Hypertension,Chest Pain,Chloroquine
Epilepsy,Rapid Heartbeat,Sildenafil
Diabetes,Itching,Prednisone
Multiple Sclerosis,Swelling,Sildenafil
Peptic Ulcer,Swollen Lymph Nodes,Aspirin
Fungal Infection,Weight Loss,Chloroquine
Arthritis,Fever,Adalimumab
Ulcerative Colitis,Muscle Weakness,Losartan
Bronchitis,Sore Throat,Amoxicillin
Malaria,Fever,Budesonide
Dengue,Night Sweats,Rifampin
Acne,Diarrhea,Loratadine
Zika Virus,Swollen Lymph Nodes,Ondansetron
Gastroenteritis,Vomiting,Cetirizine
Chronic Kidney Disease,Cough,Omeprazole
Whooping Cough,Ear Pain,Loperamide
Hypertension,Loss of Appetite,Adalimumab
Lung Cancer,Back Pain,Sildenafil
Tuberculosis,Ear Pain,Sumatriptan
Epilepsy,Back Pain,Hydrocortisone
Whooping Cough,Back Pain,Paracetamol
Osteoporosis,Swelling,Adalimumab
Tuberculosis,Numbness,Glibenclamide
Gastroenteritis,Nausea,Terbinafine
Glaucoma,Loss of Appetite,Chloroquine
Hypertension,Diarrhea,Chloroquine
Acne,Abdominal Pain,Cetirizine
Eczema,Fever,Sumatriptan
COVID-19,Muscle Weakness,Aspirin
Chickenpox,Muscle Weakness,Ibuprofen
Fungal Infection,Tremors,Ciprofloxacin
Urinary Tract Infection,Sore Throat,Levothyroxine
Chickenpox,Sore Throat,Loratadine
Chickenpox,Joint Pain,Paracetamol
Hypertension,Back Pain,Doxycycline
COVID-19,Dizziness,Ciprofloxacin
Vertigo,Fever,Hydrocortisone
Fungal Infection,Fatigue,Loperamide
Arthritis,Sore Throat,Sildenafil
Migraine,Headache,Ibuprofen
Ulcerative Colitis,Blurred Vision,Losartan
Chronic Kidney Disease,Tremors,Levothyroxine
Common Cold,Cough,Doxycycline
Acne,Loss of Appetite,Adalimumab
Zika Virus,Headache,Paracetamol
Osteoporosis,Chest Pain,Terbinafine
Glaucoma,Weight Loss,Ibuprofen
Eczema,Cough,Adalimumab
Zika Virus,Rapid Heartbeat,Azithromycin
Glaucoma,Loss of Appetite,Propranolol
Glaucoma,Joint Pain,Loratadine
Allergy,Sore Throat,Budesonide
Zika Virus,Dizziness,Ranitidine
Zika Virus,Blurred Vision,Metformin
Common Cold,Swelling,Ranitidine
Urinary Tract Infection,Dizziness,Metformin
Hypertension,Headache,Calamine Lotion
Zika Virus,Weight Loss,Topiramate
Gastroenteritis,Cough,Chloroquine
Tuberculosis,Dizziness,Ranitidine
Chronic Kidney Disease,Swollen Lymph Nodes,Aspirin
Zika Virus,Tremors,Budesonide
Chronic Kidney Disease,Nausea,Omeprazole
Common Cold,Nausea,Amoxicillin
Arthritis,Runny Nose,Omeprazole
Osteoporosis,Sore Throat,Isoniazid
Pneumonia,Cough,Terbinafine
Glaucoma,Numbness,Budesonide
Eczema,Rapid Heartbeat,Glibenclamide
Glaucoma,Numbness,Topiramate
Psoriasis,Night Sweats,Cetirizine
Tuberculosis,Weight Loss,Amoxicillin
Common Cold,Ear Pain,Chloroquine
Peptic Ulcer,Night Sweats,Budesonide
Ulcerative Colitis,Numbness,Amoxicillin
Osteoporosis,Shortness of breath,Ranitidine
Dengue,Diarrhea,Losartan
Sinusitis,Blurred Vision,Ranitidine
Hypertension,Red Eyes,Prednisone
Whooping Cough,Skin Rash,Hydrocortisone
Arthritis,Abdominal Pain,Azithromycin
Glaucoma,Rapid Heartbeat,Budesonide
Chronic Kidney Disease,Diarrhea,Rifampin
Psoriasis,Tremors,Hydrocortisone
Chickenpox,Fever,Doxycycline
Zika Virus,Skin Rash,Terbinafine
Osteoporosis,Weight Loss,Sildenafil
Jaundice,Runny Nose,Metformin
Whooping Cough,Vomiting,Omeprazole
Eczema,Muscle Weakness,Loperamide
Zika Virus,Joint Pain,Azithromycin
Asthma,Dizziness,Cetirizine
Osteoporosis,Headache,Losartan
COVID-19,Cough,Terbinafine
Fungal Infection,Sore Throat,Hydrocortisone
Tuberculosis,Joint Pain,Aspirin
Multiple Sclerosis,Night Sweats,Rifampin
Whooping Cough,Loss of Appetite,Rifampin
Urinary Tract Infection,Diarrhea,Ciprofloxacin
Typhoid,Skin Rash,Paracetamol
Lung Cancer,Loss of Appetite,Sumatriptan
Heart Disease,Ear Pain,Amoxicillin
Osteoporosis,Loss of Appetite,Terbinafine
Zika Virus,Dizziness,Topiramate
Arthritis,Swollen Lymph Nodes,Chloroquine
Influenza,Itching,Chloroquine
Sinusitis,Rapid Heartbeat,Loperamide
Bronchitis,Chest Pain,Prednisone
Sinusitis,Loss of Appetite,Amoxicillin
Osteoporosis,Abdominal Pain,Isoniazid
Sinusitis,Headache,Azithromycin
Migraine,Sore Throat,Aspirin
COVID-19,Runny Nose,Metformin
Jaundice,Cough,Doxycycline
Acne,Red Eyes,Amoxicillin
Osteoporosis,Weight Loss,Rifampin
Heart Disease,Headache,Propranolol
Multiple Sclerosis,Runny Nose,Losartan
Allergy,Skin Rash,Isoniazid
Common Cold,High Blood Pressure,Propranolol
Fungal Infection,Swelling,Losartan
Dengue,Fatigue,Aspirin
Ulcerative Colitis,Skin Rash,Ibuprofen
Influenza,Rapid Heartbeat,Chloroquine
Glaucoma,High Blood Pressure,Isoniazid
Psoriasis,Joint Pain,Omeprazole
Eczema,Swollen Lymph Nodes,Isoniazid
Asthma,Ear Pain,Omeprazole
Urinary Tract Infection,Swelling,Azithromycin
Osteoporosis,Night Sweats,Amoxicillin
Chronic Kidney Disease,Itching,Metformin
Fungal Infection,Red Eyes,Rifampin
Multiple Sclerosis,Swollen Lymph Nodes,Metformin
Ulcerative Colitis,Diarrhea,Adalimumab
Hepatitis,Chest Pain,Aspirin
Common Cold,Itching,Omeprazole
Dengue,Headache,Chloroquine
Influenza,Skin Rash,Budesonide
Hypertension,Blurred Vision,Ondansetron
Malaria,Runny Nose,Cetirizine
Sinusitis,Joint Pain,Rifampin
Sinusitis,Red Eyes,Cetirizine
Typhoid,Loss of Appetite,Ranitidine
Whooping Cough,Diarrhea,Losartan
Eczema,Numbness,Doxycycline
Heart Disease,Diarrhea,Calamine Lotion
Arthritis,Sore Throat,Levothyroxine
Heart Disease,Dizziness,Rifampin
Asthma,Muscle Weakness,Adalimumab
Hypertension,Ear Pain,Topiramate
Malaria,Dizziness,Doxycycline
Vertigo,Diarrhea,Cetirizine
Zika Virus,Tremors,Paracetamol
Epilepsy,Diarrhea,Levothyroxine
Hepatitis,Fever,Amoxicillin
Urinary Tract Infection,Sore Throat,Sumatriptan
Ulcerative Colitis,Rapid Heartbeat,Terbinafine
Common Cold,Tremors,Aspirin
Migraine,Nausea,Metformin
Urinary Tract Infection,Tremors,Prednisone
Common Cold,Tremors,Loperamide
Osteoporosis,Weight Loss,Sumatriptan
Chronic Kidney Disease,High Blood Pressure,Budesonide
Peptic Ulcer,Fatigue,Propranolol
Hypertension,Runny Nose,Ranitidine
Jaundice,Itching,Hydrocortisone
Malaria,Ear Pain,Losartan
Vertigo,Vomiting,Prednisone
Eczema,Tremors,Amoxicillin
Heart Disease,Ear Pain,Terbinafine
Hepatitis,Itching,Loratadine
Vertigo,Tremors,Prednisone
Jaundice,Nausea,Prednisone
Whooping Cough,Runny Nose,Adalimumab
Chickenpox,Runny Nose,Amoxicillin
Arthritis,Headache,Ondansetron
